post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url
"Pocky Strawberry",pocky-strawberry,,226,,,publish,,0,"2022-04-20 23:53:16",1,open,,,,no,no,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/pol_pl_Paluszki-Pocky-Truskawkowe-45g-Glico-904_2-1.png ! alt :  ! title : pol_pl_Paluszki-Pocky-Truskawkowe-45g-Glico-904_2 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=pocky-strawberry
"Cup ""Haikyuu!""",cup-haikyuu,,229,,,publish,,0,"2022-04-23 21:52:35",1,open,,,,no,no,,6,4,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/58.jpg ! alt :  ! title : 58 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/58х.jpg ! alt :  ! title : 58х ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=cup-haikyuu
"Lamp Haikyuu",lamp-haikyuu,,232,,,publish,,0,"2022-04-23 21:58:29",1,open,,,,no,no,,9,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/Hd7c33becfebe4cdeb8ab23e6cf44c0ebT.webp ! alt :  ! title : Hd7c33becfebe4cdeb8ab23e6cf44c0ebT ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/images.jpg ! alt :  ! title : images ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/He4b75cd34678469197f14fe011f44c8fQ.jpg ! alt :  ! title : He4b75cd34678469197f14fe011f44c8fQ ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=lamp-haikyuu
"Pencil Case Totoro",pencil-case-totoro,,236,,,publish,,0,"2022-04-23 22:01:41",1,open,,,,no,no,,8,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/71493567.jpg ! alt :  ! title : 71493567 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=pencil-case-totoro
"Pen Tanako-kun",pen-tanako-kun,,238,,,publish,,0,"2022-04-23 22:05:43",1,open,,,,no,no,,4,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/original.webp ! alt :  ! title : original ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=pen-tanako-kun
"Artbook Hellboy",artbook-hellboy,,240,,,publish,,0,"2022-04-23 22:09:58",1,open,,,,no,no,,20,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/A3Rj1Dkbv2EB6AdI84IVU1xwQHTwmsmvTrrxh3Xs.jpeg ! alt :  ! title : A3Rj1Dkbv2EB6AdI84IVU1xwQHTwmsmvTrrxh3Xs ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/Z25pPnWvzAIsk5b4OGgnqUVFK38Zg5h0ouK2m3Ht.jpeg ! alt :  ! title : Z25pPnWvzAIsk5b4OGgnqUVFK38Zg5h0ouK2m3Ht ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/Zx1TXfWly1yNVOtr6k3EokH1klREP91i59zLzLu8.jpeg ! alt :  ! title : Zx1TXfWly1yNVOtr6k3EokH1klREP91i59zLzLu8 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/0XyIdp368iszq5yyMIlD0vIYG652CdYXqttjovnf-scaled.jpeg ! alt :  ! title : 0XyIdp368iszq5yyMIlD0vIYG652CdYXqttjovnf ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=artbook-hellboy
"Comic Rick and Morty",comic-rick-and-morty,,245,,,publish,,0,"2022-04-23 22:13:48",1,open,,,,no,no,,15,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/rik-i-morti_144.jpg ! alt :  ! title : rik-i-morti_144 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/cover.webp ! alt :  ! title : cover ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=comic-rick-and-morty
"Manga ""One Puch Men"" 1 TOM",manga-one-puch-men-1-tom,,248,,,publish,,0,"2022-04-23 22:18:36",1,open,,,,no,no,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/10672701_0.jpg ! alt :  ! title : 10672701_0 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/22850.0x450@2x.jpg ! alt :  ! title : 22850.0x450@2x ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=manga-one-puch-men-1-tom
"Manchwa Killing Stalker 1 TOM",manchwa-killing-stalker-1-tom,,251,,,publish,,0,"2022-04-23 22:22:46",1,open,,,,no,no,,13,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/3184233290_manga-ubit-stalkera.webp ! alt :  ! title : 3184233290_manga-ubit-stalkera ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/unnamed-file.jpg ! alt :  ! title : __________-________________ ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=manchwa-killing-stalker-1-tom
"Notebook ""Death Note""",notebook-death-note,,254,,,publish,,0,"2022-04-23 22:27:50",1,open,,,,no,no,,13,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/01d7d0c25b45324a31553e4694614a71b87ca186_original.jpeg ! alt :  ! title : 01d7d0c25b45324a31553e4694614a71b87ca186_original ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/rBVaVFzBXhqAW1QNAAKoAD7UdFQ636.jpg ! alt :  ! title : rBVaVFzBXhqAW1QNAAKoAD7UdFQ636 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/77.jpg ! alt :  ! title : 77 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=notebook-death-note
"Poster Ginshin Impact",poster-ginshin-impact,,258,,,publish,,0,"2022-04-23 22:37:54",1,open,,,,no,no,,3,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/2993186704_plakat-anime-igry.webp ! alt :  ! title : 2993186704_plakat-anime-igry ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/images-1.jpg ! alt :  ! title : images (1) ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=poster-ginshin-impact
"Ranobe Re:zero 4 TOM",ranobe-rezero-4-tom,,261,,,publish,,0,"2022-04-23 22:43:00",1,open,,,,no,no,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/d4320dcfecbfb24cc5400e205b2beb1a.jpg ! alt :  ! title : d4320dcfecbfb24cc5400e205b2beb1a ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=ranobe-rezero-4-tom
"Pillow Naruto",pillow-naruto,,266,,,publish,,0,"2022-04-23 22:59:43",1,open,,,,no,no,,17,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/159699355.jpg ! alt :  ! title : 159699355 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/159699354.jpg ! alt :  ! title : 159699354 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=pillow-naruto
"Pillow Chi Chi Genshin Impact 45x60",pillow-chi-chi-genshin-impact-45x60,,269,,,publish,,0,"2022-04-25 23:07:27",1,open,,,,no,no,,30,28,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/3176770709_podushka-anime-tsi.webp ! alt :  ! title : 3176770709_podushka-anime-tsi ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=pillow-chi-chi-genshin-impact-45x60
"Dakimakura Hanji Zoe Ataka on Titan",dakimakura-hanji-zoe-ataka-on-titan,,273,,,publish,,0,"2022-04-25 23:15:25",1,open,,,,no,no,,45,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/zoom.jpg ! alt :  ! title : zoom ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/zoom-1.jpg ! alt :  ! title : zoom (1) ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=dakimakura-hanji-zoe-ataka-on-titan
"Toys DOG",toys-dog,,276,,,publish,,0,"2022-04-25 23:23:05",1,open,,,,no,no,,23,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/Без-названия-2.jpg ! alt :  ! title : Без названия (2) ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/41CRfXl-OL._AC_SL1000_.jpg ! alt :  ! title : 41CRfXl--OL._AC_SL1000_ ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=toys-dog
"WIG Midoria My Hero Academy",wig-midoria-my-hero-academy,,279,,,publish,,0,"2022-04-25 23:32:40",1,open,,,,no,no,,28,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/97072eda8ac7281e34546600014bd9ce80196d5f_original.jpeg ! alt :  ! title : 97072eda8ac7281e34546600014bd9ce80196d5f_original ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/parik-izuku-midoriya.jpg ! alt :  ! title : parik-izuku-midoriya ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/04/271c930d78d6fce59b68f204cc4aabd206f70535_original.jpeg ! alt :  ! title : 271c930d78d6fce59b68f204cc4aabd206f70535_original ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=wig-midoria-my-hero-academy
"Shopper Killua HanterxHanter",shopper-killua-hanterxhanter,,289,,,publish,,0,"2022-04-25 23:52:06",1,open,,,,no,no,,17,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/04/3233973625_w640_h640_shopper-anime.webp ! alt :  ! title : 3233973625_w640_h640_shopper-anime ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=shopper-killua-hanterxhanter
"3D Lamp Shrek",3d-lamp-shrek,,427,"Shrek 3D lamp will help your home to create a cozy swamp!

Only 1 left in stock! Hurry!",,publish,,0,"2022-05-24 23:21:15",1,open,,,,no,no,,50,35,0.6,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/05/л1.jpg ! alt :  ! title : л1 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/05/л2.jpg ! alt :  ! title : л2 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/05/л3.jpg ! alt :  ! title : л3 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/05/л4.jpg ! alt :  ! title : л4 ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/05/л5.jpg ! alt :  ! title : л5 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=3d-lamp-shrek
"Wig Beidou Cosplay Genshin Impact",wig-beidou-cosplay-genshin-impact,,450,,,publish,,0,"2022-05-25 00:02:33",1,open,,,,no,no,,40,35,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://tengu.anime-shop.com/wp-content/uploads/2022/05/CS-455Q_1_800x.webp ! alt :  ! title : CS-455Q_1_800x ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/05/Game-Genshin-Impact-Beidou-Cosplay-Wig-Long-Dark-Brown-Hair-C00285.jpg_Q90.jpg_.webp ! alt :  ! title : Game-Genshin-Impact-Beidou-Cosplay-Wig-Long-Dark-Brown-Hair-C00285.jpg_Q90.jpg_ ! desc :  ! caption :  | http://tengu.anime-shop.com/wp-content/uploads/2022/05/1_O1CN01AJAHAz1HnMHJVHHXk_2881490802-800x800-1.jpg ! alt :  ! title : 1_O1CN01AJAHAz1HnMHJVHHXk_2881490802-800x800-1 ! desc :  ! caption : ",,http://tengu.anime-shop.com/?product=wig-beidou-cosplay-genshin-impact
